"5";"Exérèse du thymus vestigial, par thoracotomie"
"NGDA004";"Arthrorise tibiotalienne ou talocalcanéenne, par abord direct"
"NGDC001";"Arthrodèse tibiotalienne, par arthroscopie"
"NGEP001";"Réduction orthopédique d'une luxation tibiotalienne ou d'une luxation-fracture du tarse"
"NGFA002";"Exérèse d'un kyste synovial ou d'une bourse séreuse de la cheville ou du pied, par abord direct"
"NGGA002";"Ablation d'une prothèse tibiotalienne avec arthrodèse"
"NGJA001";"Nettoyage de l'articulation tibiotalienne, par arthrotomie"
"NGJC001";"Nettoyage de l'articulation tibiotalienne, par arthroscopie"
"NGKA001";"Remplacement de l'articulation tibiotalienne par prothèse"
"NGMP001";"Confection d'une contention souple de la cheville ou du pied, ou confection d'une semelle plâtrée"
"NGMP002";"Confection d'une attelle de posture ou de mobilisation de la cheville"
"NGPA002";"Libération mobilisatrice de l'articulation tibiotalienne et/ou synovectomie tibiotalienne, par arthrotomie"
"NGPC001";"Libération mobilisatrice de l'articulation tibiotalienne et/ou synovectomie tibiotalienne, par arthroscopie"
"NGQC001";"Exploration de l'articulation de la cheville, par arthroscopie"
"NGQK001";"Radiographie de la cheville selon 1 à 3 incidences"
"NGQK002";"Radiographie de la cheville selon 4 incidences ou plus"
"NGRP001";"Mobilisation de l'articulation de la cheville à visée thérapeutique, sous anesthésie générale ou locorégionale"
"NHDA001";"Arthrodèse de la première articulation métatarsophalangienne, avec résection des têtes des métatarsiens latéraux"
"NHDA002";"Arthrodèse de l'articulation interphalangienne du premier orteil, par arthrotomie"
"NHDA003";"Arthrodèse du couple de torsion du pied [talocalcanéenne et médiotarsienne] avec correction de vices architecturaux, par abord direct"
"NHDA004";"Arthrodèse de la première articulation métatarsophalangienne, par arthrotomie"
"NHDA005";"Arthrodèse de plusieurs articulations tarsométatarsiennes, par arthrotomie"
"NHDA006";"Arthrodèse d'un interligne du médiotarse, par arthrotomie"
"NHDA007";"Arthrodèse d'une articulation tarsométatarsienne, par arthrotomie"
"NHDA011";"Arthrodèse talocalcanéenne, par arthrotomie"
"NHKA001";"Remplacement de l'articulation métatarsophalangienne par prothèse sur un rayon du pied"
"NHMA001";"Arthroplastie métatarsophalangienne par résection de la tête métatarsienne sur plusieurs rayons latéraux du pied"
"NHMA002";"Arthroplastie par résection de l'articulation ou arthrodèse interphalangienne d'un orteil latéral"
"NHMA003";"Arthroplastie métatarsophalangienne par résection de la tête métatarsienne sur un rayon latéral du pied"
"NHPA002";"Libération mobilisatrice de l'articulation métatarsophalangienne du premier orteil avec transfert tendineux ou syndesmopexie"
"NHRP002";"Mobilisation d'articulation du pied à visée thérapeutique, sous anesthésie générale ou locorégionale"
"NHRP003";"Manipulation de pied bot varus équin ou de pied convexe, avec confection d'un appareil rigide externe de réduction progressive"
"NJAA002";"Allongement et/ou transfert de tendon sans capsulotomie pour correction d'attitude vicieuse du genou, par abord direct"
"NJAA003";"Allongement d'un tendon de l'arrière-pied, par abord direct"
"NJAA004";"Allongement et/ou transfert de plusieurs tendons avec capsulotomie pour correction d'attitude vicieuse du genou, par abord direct"
"NJAB001";"Allongement du tendon calcanéen [d'Achille], par voie transcutanée"
"NJCA001";"Suture d'un tendon de l'arrière-pied, par abord direct"
"NJEA003";"Réinsertion du tendon calcanéen [d'Achille], par abord direct"
"NJEA005";"Alignement d'une camptodactylie d'orteil par libération des tissus mous"
"NJEA006";"Transfert tendineux et/ou ténodèse pour rétablissement de l'éversion ou de l'inversion du pied"
"NJEA007";"Réinsertion et/ou suture du ligament patellaire [tendon rotulien]"
"NJEA009";"Transfert tendineux et/ou ténodèse pour rétablissement de la flexion dorsale de la cheville"
"NJFA001";"Résection d'un ostéome paraarticulaire coxofémoral antérieur, postérieur ou médial"
"NJFA002";"Exérèse de lésion fasciale et/ou sousfasciale des tissus mous de la plante du pied"
"NJFA008";"Exérèse d’un hygroma du genou, par abord direct"
"NJMB001";"Réparation d'une rupture du tendon calcanéen [d'Achille], par voie transcutanée"
"NJPA002";"Libération des tissus mous de la cheville ou de l'arrière-pied avec capsulotomie, par abord postérieur"
"NJPA007";"Aponévrotomie ou aponévrectomie plantaire, ou désinsertion de l'aponévrose plantaire"
"NJPA014";"Aponévrotomie intramusculaire pour allongement du muscle triceps sural, par abord direct"
"NJPA018";"Libération, incisions axiales ou ténosynovectomie d'un tendon de l'arrière-pied"
"NJPA019";"Libération des tissus mous de la cheville ou de l'arrière-pied avec capsulotomie, par abords postérieur et médial"
"NJPA022";"Section, allongement ou transfert tendineux pour correction bilatérale d'attitudes vicieuses de la hanche, du genou et du pied, par abord direct"
"NJPA024";"Section, allongement ou transfert tendineux pour correction unilatérale d'attitudes vicieuses de la hanche, du genou et du pied, par abord direct"
"NJPA025";"Section ou allongement d'un tendon de muscle extenseur ou de muscle fléchisseur des orteils à l'avant-pied"
"NJPA027";"Libération des tissus mous de la cheville ou de l'arrière-pied et du médiopied avec capsulotomie et ostéotomie du tarse ou du métatarse, par abords postérieur, médial et latéral"
"NJPA029";"Section ou allongement de plusieurs tendons pour correction d'attitude vicieuse du pied"
"NJPA034";"Section ou allongement des tendons du muscle psoas et d'autre muscle pour correction d'attitude vicieuse de la hanche, par abord unique"
"NJPA035";"Section ou allongement de tendon pour correction d'attitude vicieuse de la hanche, par abord unique"
"NJPB001";"Section de tendon pour correction d'attitude vicieuse de la hanche, par voie transcutanée"
"NZEA004";"Repositionnement du pied pour agénésie de la fibula"
"NZEB001";"Traction continue transosseuse du membre inférieur, pour lésion non traumatique"
"NZFA002";"Amputation transtibiale"
"NZFA004";"Amputation ou désarticulation de plusieurs orteils"
"NZFA005";"Amputation ou désarticulation au médiopied ou à l'avant-pied, sans stabilisation de l'arrière-pied"
"NZFA007";"Amputation transfémorale"
"NZFA010";"Amputation ou désarticulation d'un orteil"
"NZFA011";"Amputation d'un orteil surnuméraire, avec reconstruction articulaire"
"NZFA012";"Amputation d'un orteil surnuméraire, sans reconstruction articulaire"
"NZFA013";"Amputation ou désarticulation du médiopied ou de l'avant-pied, avec stabilisation de l'arrière-pied"
"NZHA001";"Biopsie d'un os et/ou d'une articulation du membre inférieur, par abord direct"
"NZHB001";"Biopsie osseuse et/ou biopsie articulaire du membre inférieur, par voie transcutanée sans guidage"
"NZHB002";"Ponction ou cytoponction d'une articulation du membre inférieur, par voie transcutanée sans guidage"
"NZHH002";"Biopsie d'un os et/ou d'une articulation du membre inférieur, par voie transcutanée avec guidage scanographique"
"NZHH003";"Biopsie d'un os et/ou d'une articulation du membre inférieur, par voie transcutanée avec guidage radiologique"
"NZHH004";"Ponction ou cytoponction d'une articulation du membre inférieur, par voie transcutanée avec guidage radiologique"
"NZJB001";"Évacuation d'une collection articulaire du membre inférieur, par voie transcutanée sans guidage"
"NZLB001";"Injection thérapeutique d'agent pharmacologique dans une articulation ou une bourse séreuse du membre inférieur, par voie transcutanée sans guidage"
"NZLH002";"Injection thérapeutique d'agent pharmacologique dans une articulation ou une bourse séreuse du membre inférieur, par voie transcutanée avec guidage radiologique"
"NZMA001";"Reconstruction et réalignement du premier rayon du pied pour malformation"
"NZQH001";"Scanographie unilatérale ou bilatérale d'une articulation et/ou d'un segment du membre inférieur, avec injection intraveineuse de produit de contraste"
"NZQJ001";"Remnographie [IRM] unilatérale ou bilatérale d'une articulation et/ou d'un segment du membre inférieur, avec injection intraveineuse de produit de contraste"
"NZQK001";"Téléradiographie unilatérale ou bilatérale du membre inférieur en totalité, de face en appui bipodal"
"NZQK002";"Scanographie unilatérale ou bilatérale d'une articulation et/ou d'un segment du membre inférieur, sans injection de produit de contraste"
"NZQK003";"Téléradiographie bilatérale du membre inférieur en totalité, de face en appui monopodal l'un après l'autre"
"NZQN001";"Remnographie [IRM] unilatérale ou bilatérale d'une articulation et/ou d'un segment du membre inférieur, sans injection de produit de contraste"
"PACA001";"Perforation ou forage d'une épiphyse fertile, par arthrotomie"
"PACC001";"Perforation ou forage d'une épiphyse fertile, par arthoscopie"
"PAFA003";"Prélèvement d'autogreffe osseuse corticale ou corticospongieuse à distance du foyer opératoire, sur plusieurs sites sans changement de position"
"PAFA004";"Prélèvement d'autogreffe osseuse corticale ou corticospongieuse à distance du foyer opératoire, sur un site avec changement de position"
"PAFA010";"Prélèvement d'autogreffe osseuse corticale ou corticospongieuse, ou d'autogreffe périostée à distance du foyer opératoire, sur un site sans changement de position"
"PAGA001";"Ablation de matériel d'ostéosynthèse des membres, par abord direct"
"PAGA004";"Ablation de matériel d'ostéosynthèse centromédullaire des membres, par abord direct"
"PAGB001";"Ablation de broche d'ostéosynthèse enfouie, par voie transcutanée sans guidage"
"PAGB002";"Ablation de matériel d'ostéosynthèse enfoui, par voie transcutanée sans guidage"
"PAGB003";"Ablation d'un fixateur externe ou d'un système externe d'allongement progressif d'un os des membres"
"PAGB004";"Ablation de broche d'ostéosynthèse non enfouie"
"PAGH001";"Ablation de matériel d'ostéosynthèse enfoui, par voie transcutanée avec guidage radiologique"
"PAKB001";"Changement de fiche ou broche d'un fixateur externe ou d'un système externe d'allongement osseux"
"PAMP001";"Réglage et/ou modification des axes d'un fixateur externe ou d'un système externe d'allongement progressif, sous anesthésie générale ou locorégionale"
"PAQK002";"Radiographie du squelette pour calcul de l'âge osseux, chez l'enfant de plus de 2 ans"
"PAQK003";"Radiographie du squelette complet, segment par segment, chez l'enfant"
"PAQK005";"Radiographie de l'hémisquelette pour calcul de l'âge osseux, chez l'enfant de moins de 2 ans"
"PAQK007";"Ostéodensitométrie [Absorptiométrie osseuse] sur 2 sites, par méthode biphotonique"
"PAQL002";"Scintigraphie osseuse du corps entier en plusieurs phases"
"PAQL003";"Scintigraphie osseuse du corps entier en une phase [temps tardif]"
"PAQL008";"Scintigraphie osseuse segmentaire en plusieurs phases, sans acquisition complémentaire par un collimateur sténopé"
"PBQM002";"Échographie unilatérale ou bilatérale d'une articulation"
"PCCA001";"Suture d'une rupture de muscle"
"PCCA002";"Suture de plaie ou de rupture de tendon"
"PCHB001";"Biopsie musculaire, par voie transcutanée"
"PCLB002";"Séance d'injection de toxine botulique dans les muscles striés par voie transcutanée, sans examen électromyographique de détection"
"PCLB003";"Séance d'injection de toxine botulique dans les muscles striés par voie transcutanée, avec examen électromyographique de détection"
"PCMA001";"Plastie d'allongement ou de raccourcissement de tendon par dédoublement ou retournement, par abord direct"
"PCPA002";"Aponévrotomie intramusculaire pour allongement"
"PCPA004";"Fasciomyotomie pour décompression de loge d'un membre, par abord direct"
"PCPA005";"Ténotomie, par abord direct"
"PCPA006";"Section ou plastie d'agrandissement de poulie de réflexion de tendon,par abord direct"
"PCPB002";"Ténotomie, par voie transcutanée"
"PCQM001";"Échographie des muscles et/ou des tendons"
"PDFA001";"Exérèse de lésion fasciale et/ou sousfasciale des tissus mous, sans dissection d'un gros tronc vasculaire ou nerveux"
"PDFA002";"Exérèse de lésion fasciale et/ou sousfasciale des tissus mous, avec dissection de gros tronc vasculaire et/ou nerveux"
"PDFA003";"Exérèse de lésion fasciale et/ou sousfasciale des tissus mous de la racine d'un membre, du pli du coude ou du creux poplité"
"PDHA001";"Biopsie des tissus mous sousfasciaux, par abord direct"
"PZMA002";"Réfection d'un moignon d'amputation de membre avec régularisation osseuse"
"PZMA004";"Réparation par lambeau libre cutané, fascial, fasciocutané ou souscutané, musculaire, musculocutané, musculotendineux ou osseux avec anastomoses vasculaires"
"PZMA005";"Réparation par lambeau libre ostéocutané, ostéomusculaire ou ostéo-musculo-cutané, avec anastomoses vasculaires"
"QAEA002";"Greffe cutanée pour brûlure de l'extrémité céphalique, sur moins de 1% de la surface corporelle"
"QAEA008";"Greffe cutanée pour brûlure de l'extrémité céphalique, sur 4% à 5% de la surface corporelle"
"QAEA010";"Greffe cutanée pour brûlure de l'extrémité céphalique, sur 1% à 2% de la surface corporelle"
"QAEA011";"Greffe cutanée pour brûlure de l'extrémité céphalique, sur 2% à 3% de la surface corporelle"
"QAFA001";"Prélèvement d'autogreffe cutanée sur le cuir chevelu, pour brûlure"
"QAFA002";"Excision de brûlure de l'extrémité céphalique, sur 1% à 2% de la surface corporelle"
"QAFA004";"Excision de brûlure de l'extrémité céphalique, sur 2% à 3% de la surface corporelle"
"QAFA006";"Excision de brûlure de l'extrémité céphalique, sur moins de 1% de la surface corporelle"
"QAFA008";"Excision de brûlure de l'extrémité céphalique, sur 3% à 4% de la surface corporelle"
"QAGA003";"Ablation d'un corps étranger superficiel de la peau du visage ou des mains"
"QAGA004";"Ablation d'un corps étranger profond des tissus mous du visage ou des mains"
"QAJA001";"Pansement chirurgical secondaire de brûlure sur l'extrémité céphalique et les deux mains"
"QAJA003";"Évacuation d'un phlegmon cervicofacial et médiastinal diffus, par cervicotomie"
"QAJA004";"Parage et/ou suture de plaie profonde de la peau et des tissus mous de la face de moins de 3 cm de grand axe"
"QAJA005";"Parage et/ou suture de plaie superficielle de la peau de la face de 3 cm à 10 cm de grand axe"
"QAJA006";"Parage et/ou suture de plaie profonde de la peau et des tissus mous de la face de 3 cm à 10 cm de grand axe"
"QAJA007";"Pansement chirurgical initial de brûlure sur l'extrémité céphalique et les deux mains"
"QAJA010";"Pansement chirurgical secondaire de brûlure sur l'extrémité céphalique"
"QAJA011";"Pansement chirurgical secondaire de brûlure sur l'extrémité céphalique et une main"
"QAJA012";"Parage et/ou suture de plaie profonde de la peau et des tissus mous de la face de plus de 10 cm de grand axe"
"QAJA013";"Parage et/ou suture de plaie superficielle de la peau de la face de moins de 3 cm de grand axe"
"QAJA014";"Pansement chirurgical initial de brûlure sur l'extrémité céphalique"
"QAMA002";"Réparation par lambeau local ou régional muqueux, cutané ou fasciocutané, à pédicule vasculonerveux non individualisé ou non individualisable, sur l'extrémité céphalique"
"QAMA003";"Réparation par lambeau frontal à pédicule inférieur"
"QAMA009";"Lissage [Lifting] cervicofacial bilatéral avec platysmaplastie, par abord direct"
"QAMA010";"Lissage [Lifting] cervicofacial bilatéral, par abord direct"
"QAMA013";"Réparation par lambeau musculaire ou musculocutané de l'extrémité céphalique"
"QAMA015";"Réparation par lambeau pédiculé de cuir chevelu"
"QANP001";"Abrasion du visage entier, par laser CO2 impulsionnel ou scanérisé, ou par laser erbium Yag"
"QANP006";"Dermabrasion du visage sur moins de 5 cm2"
"QANP007";"Séance de destruction de 1 à 10 lésions cutanées superficielles du visage, par agent chimique ou par cryothérapie de contact"
"QANP009";"Dermabrasion du visage entier"
"QAPA002";"Mise à plat d'une lésion infectieuse du cuir chevelu ou de la voûte crânienne"
"QBFA001";"Dermolipectomie abdominale avec transposition de l'ombilic et fermeture de diastasis des muscles droits de l'abdomen"
"QBFA006";"Dermolipectomie abdominale sans transposition de l'ombilic, avec fermeture de diastasis des muscles droits de l'abdomen"
"QBFA007";"Excision d'un sinus pilonidal périnéofessier"
"QBFA008";"Dermolipectomie abdominale avec transposition de l'ombilic et lipoaspiration de l'abdomen"
"QBFA010";"Dermolipectomie abdominale sans transposition de l'ombilic, avec lipoaspiration de l'abdomen et fermeture de diastasis des muscles droits de l'abdomen"
"QBFA011";"Dermolipectomie abdominale sans transposition de l'ombilic"
"QBFA012";"Dermolipectomie abdominale avec transposition de l'ombilic, lipoaspiration de l'abdomen et fermeture de diastasis des muscles droits de l'abdomen"
"QBFA013";"Dermolipectomie abdominale sans transposition de l'ombilic, avec lipoaspiration de l'abdomen"
"QBJB001";"Lipoaspiration de l’abdomen"
"QCEA005";"Greffe cutanée pour brûlure d'une main, sur moins de 1,25% de la surface corporelle"
"QCEA006";"Greffe cutanée pour brûlure d'une main, sur plus de 1,25% de la surface corporelle"
"QCFA002";"Excision de brûlure d'une main, sur moins de 1,25% de la surface corporelle"
"QCFA003";"Excision de brûlure d'une main, sur plus de 1,25% de la surface corporelle"
"QCJA001";"Parage et/ou suture de plaie profonde de la peau et des tissus mous de la main"
"QCJA002";"Pansement chirurgical secondaire de brûlure sur les deux mains"
"QCJA003";"Pansement chirurgical initial de brûlure sur une main"
"QCJA004";"Pansement chirurgical secondaire de brûlure sur une main"
"QDJB001";"Lipoaspiration des régions soustrochantériennes"
"QDJB002";"Lipoaspiration de la face médiale des genoux"
"QDPA001";"Séparation d'une syndactylie des orteils par plastie cutanée d'une ou plusieurs commissures"
"QEBA001";"Réduction de volume du mamelon"
"QEDA002";"Mastopexie unilatérale, sans pose d'implant prothétique"
"QEDA004";"Mastopexie bilatérale, sans pose d'implant prothétique"
"QEEA001";"Transposition du mamelon"
"QEFA001";"Tumorectomie du sein avec curage lymphonodal axillaire"
"QEFA002";"Exérèse bilatérale de gynécomastie"
"QEFA004";"Tumorectomie du sein"
"QEFA006";"Exérèse de tissu mammaire ectopique ou de glande mammaire aberrante [sein surnuméraire]"
"QEFA016";"Pyramidectomie mammaire [Exérèse de canal galactophore]"
"QEFA019";"Mastectomie totale"
"QEFA020";"Mastectomie totale avec conservation des pectoraux et curage lymphonodal axillaire"
"QEGA004";"Ablation bilatérale d'implant prothétique mammaire, avec capsulectomie"
"QEHA002";"Biopsie de lésion de la glande mammaire, par abord direct"
"QEHB001";"Ponction ou cytoponction de lésion de la glande mammaire, par voie transcutanée sans guidage"
"QEHB002";"Biopsie de lésion de la glande mammaire, par voie transcutanée sans guidage"
"QEHJ003";"Ponction ou cytoponction d'une lésion de la glande mammaire, par voie transcutanée avec guidage échographique"
"QEKA002";"Changement d'implant prothétique mammaire, sans capsulectomie"
"QELH001";"Pose de repère dans le sein, par voie transcutanée avec guidage mammographique"
"QEMA001";"Reconstruction du sein par lambeau unipédiculé de muscle droit de l'abdomen"
"QEMA003";"Mastoplastie unilatérale d'augmentation, avec pose d'implant prothétique"
"QEMA004";"Mastoplastie bilatérale d'augmentation, avec pose d'implant prothétique"
"QEMA005";"Mastoplastie unilatérale de réduction, avec reconstruction de la plaque aréolomamelonnaire par lambeau local et autogreffe cutanée"
"QEMA006";"Reconstruction du sein par pose d'implant prothétique"
"QEMA007";"Plastie d'augmentation ou de réduction de la plaque aréolomamelonnaire"
"QEMA008";"Reconstruction du sein par lambeau myocutané pédiculé autre que du muscle droit de l'abdomen"
"QEMA013";"Mastoplastie bilatérale de réduction"
"QEQK001";"Mammographie bilatérale"
"QEQK003";"Radiographie de contrôle d'une pièce opératoire d'exérèse mammaire"
"QEQK004";"Mammographie de dépistage [Mammotest ]"
"QEQK005";"Mammographie unilatérale"
"QZEA001";"Greffe cutanée en sandwich, sur plus de 20% de la surface corporelle"
"QZEA005";"Autogreffe de peau mince ou demiépaisse, pleine ou en filet, sur une surface de 500 cm2 à 1000 cm2"
"QZEA006";"Autogreffe de peau totale sur plus d'une localisation"
"QZEA009";"Relèvement de plus de 5 cicatrices, par abord direct"
"QZEA011";"Greffe cutanée pour brûlure en dehors de l'extrémité céphalique et des mains, sur 10% à 12,5% de la surface corporelle"
"QZEA012";"Greffe cutanée pour brûlure en dehors de l'extrémité céphalique et des mains, sur 12,5% à 15% de la surface corporelle"
"QZEA017";"Greffe cutanée pour brûlure en dehors de l'extrémité céphalique et des mains, sur 7,5% à 10% de la surface corporelle"
"QZEA019";"Autogreffe de peau en pastilles sur une surface de 10 cm2 à 50 cm2"
"QZEA020";"Autogreffe de peau mince ou demiépaisse, pleine ou en filet, sur une surface inférieure à 50 cm2"
"QZEA021";"Greffe cutanée pour brûlure en dehors de l'extrémité céphalique et des mains, sur moins de 2,5% de la surface corporelle"
"QZEA024";"Autogreffe de peau totale sur une localisation de surface égale ou supérieure à 10 cm2"
"QZEA026";"Autogreffe de peau en pastilles sur une surface supérieure à 50 cm2"
"QZEA027";"Autogreffe de peau mince ou demiépaisse, pleine ou en filet, sur une surface de 200 cm2 à 500 cm2"
"QZEA031";"Autogreffe de peau totale sur une localisation de surface inférieure à 10 cm2"
"QZEA032";"Autogreffe de peau en pastilles sur une surface inférieure à 10 cm2"
"QZEA034";"Relèvement de 1 à 5 cicatrices, par abord direct"
"QZEA036";"Autogreffe de peau mince ou demiépaisse, pleine ou en filet, sur une surface supérieure à 1000 cm2"
"QZEA037";"Greffe cutanée pour brûlure en dehors de l'extrémité céphalique et des mains, sur 2,5% à 5% de la surface corporelle"
"QZEA039";"Autogreffe de peau mince ou demiépaisse, pleine ou en filet, sur une surface de 50 cm2 à 200 cm2"
"QZEA041";"Greffe cutanée pour brûlure en dehors de l'extrémité céphalique et des mains, sur 5% à 7,5% de la surface corporelle"
"QZFA001";"Exérèse de 2 à 5 lésions souscutanées susfasciales de moins de 3 cm de grand axe"
"QZFA002";"Exérèse d'une lésion souscutanée susfasciale de moins de 3 cm de grand axe"
"QZFA003";"Exérèse de lésion superficielle de la peau par excision de plus de 5 zones cutanées de moins de 5 cm2"
"QZFA004";"Exérèse de lésion superficielle de la peau par excision d'une zone cutanée de 5 cm2 à 10 cm2"
"QZFA005";"Exérèse de plus de 5 lésions souscutanées susfasciales de moins de 3 cm de grand axe"
"QZFA006";"Excision de brûlure en dehors de l'extrémité céphalique et des mains, sur 2,5% à 5% de la surface corporelle"
"QZFA007";"Exérèse de lésion souscutanée susfasciale de 3 cm à 10 cm de grand axe"
"QZFA008";"Exérèse de lésion superficielle de la peau par excision d'une zone cutanée de moins de 5 cm2, par technique chimiochirurgicale [technique de Mohs]"
"QZFA009";"Exérèse de l'appareil unguéal, avec réparation par lambeau pédiculé unguéomatriciel"
"QZFA011";"Exérèse de lésion superficielle de la peau par excision d'une zone cutanée de 10 cm2 à 50 cm2"
"QZFA012";"Excision de brûlure en dehors de l'extrémité céphalique et des mains, sur 10% à 12,5% de la surface corporelle"
"QZFA014";"Dermolipectomie des membres"
"QZFA017";"Excision de brûlure en dehors de l'extrémité céphalique et des mains, sur 5% à 7,5% de la surface corporelle"
"QZFA019";"Excision de brûlure en dehors de l'extrémité céphalique et des mains, sur moins de 2,5% de la surface corporelle"
"QZFA020";"Exérèse partielle ou totale de la tablette d'un ongle"
"QZFA022";"Exérèse de plus de 5 lésions cutanées par curetage"
"QZFA023";"Excision de lésion infectieuse diffuse de la peau et des tissus mous sur 50 cm2 à 200 cm2"
"QZFA024";"Exérèse de lésion souscutanée susfasciale de plus de 10 cm de grand axe"
"QZFA027";"Excision de lésion infectieuse diffuse de la peau et des tissus mous sur plus de 200 cm2"
"QZFA031";"Exérèse de lésion superficielle de la peau par excision de 2 à 5 zones cutanées de moins de 5 cm2"
"QZFA035";"Exérèse de lésion superficielle de la peau par excision d'une zone cutanée de 50 cm2 à 200 cm2"
"QZFA036";"Exérèse de lésion superficielle de la peau par excision d'une zone cutanée de moins de 5 cm2"
"QZFA037";"Excision de brûlure en dehors de l'extrémité céphalique et des mains, sur plus de 20% de la surface corporelle"
"QZFA039";"Exérèse partielle de l'appareil unguéal"
"QZGA001";"Ablation de plusieurs dispositifs d’expansion de la peau ou de plusieurs implants souscutanés définitifs"
"QZGA003";"Ablation d'un corps étranger profond des tissus mous, en dehors du visage et des mains"
"QZGA004";"Ablation d'un corps étranger superficiel de la peau, en dehors du visage et des mains"
"QZGA005";"Ablation d'un générateur souscutané de stimulation neurologique"
"QZGA007";"Ablation de plusieurs corps étrangers superficiels de la peau, en dehors du visage et des mains"
"QZGA008";"Ablation d’un dispositif d’expansion de la peau ou d'un implant souscutané définitif"
"QZHA001";"Biopsie dermoépidermique"
"QZHA005";"Biopsie des tissus souscutanés susfasciaux"
"QZJA001";"Parage et/ou suture de plaie profonde de la peau et des tissus mous de plus de 10 cm de grand axe, en dehors de la face et de la main"
"QZJA002";"Parage et/ou suture de plaie superficielle de la peau de moins de 3 cm de grand axe, en dehors de la face"
"QZJA003";"Pansement chirurgical secondaire de brûlure en dehors de l'extrémité céphalique et des mains, sur moins de 1% de la surface corporelle"
"QZJA004";"Pansement chirurgical initial de brûlure en dehors de l'extrémité céphalique et des mains, sur 10% à 30% de la surface corporelle"
"QZJA005";"Pansement chirurgical initial de brûlure en dehors de l'extrémité céphalique et des mains, sur 1% à 10% de la surface corporelle"
"QZJA006";"Parage et/ou suture d'une plaie pulpo-unguéale. Avec ou sans : plastie du lit unguéal et repositionnement de la tablette unguéale ou pose de prothèse"
"QZJA007";"Pansement chirurgical secondaire de brûlure en dehors de l'extrémité céphalique et des mains, sur 10% à 30% de la surface corporelle"
"QZJA008";"Pansement chirurgical secondaire de brûlure en dehors de l'extrémité céphalique et des mains, sur 30% à 60% de la surface corporelle"
"QZJA009";"Évacuation de collection superficielle de la peau, par abord direct"
"QZJA010";"Pansement chirurgical secondaire de brûlure en dehors de l'extrémité céphalique et des mains, sur 1% à 10% de la surface corporelle"
"QZJA011";"Évacuation de collection profonde de la peau et des tissus mous, par abord direct"
"QZJA012";"Parage et/ou suture de plaie profonde de la peau et des tissus mous de 3 cm à 10 cm de grand axe, en dehors de la face et de la main"
"QZJA013";"Parage secondaire de lésion traumatique ou infectieuse de la peau et des tissus mous, sous anesthésie générale ou locorégionale"
"QZJA015";"Parage et/ou suture de plaie superficielle de la peau de plus de 10 cm de grand axe, en dehors de la face"
"QZJA016";"Parage et/ou suture de plaie profonde de la peau et des tissus mous de moins de 3 cm de grand axe, en dehors de la face et de la main"
"QZJA017";"Parage et/ou suture de plaie superficielle de la peau de 3 cm à 10 cm de grand axe, en dehors de la face"
"QZJA018";"Pansement chirurgical secondaire de brûlure en dehors de l'extrémité céphalique et des mains, sur plus de 60% de la surface corporelle"
"QZJA019";"Pansement chirurgical initial de brûlure en dehors de l'extrémité céphalique et des mains, sur 30% à 60% de la surface corporelle"
"QZJB001";"Évacuation d'un hématome sousunguéal, par voie transunguéale"
"QZJB002";"Évacuation de collection superficielle ou profonde de la peau et des tissus mous, par voie transcutanée sans guidage"
"QZJB003";"Lipoaspiration, en dehors des régions sousmentonnière, abdominale ou soustrochantérienne ou des genoux"
"QZJP001";"Séance de détersion mécanique d'une ulcération trophique de la peau et des tissus mous sur moins de 30 cm2, sous anesthésie générale ou locorégionale"
"QZJP002";"Séance de détersion mécanique d'une ulcération trophique de la peau et des tissus mous sur plus de 200 cm2, sous anesthésie générale ou locorégionale"
"QZJP003";"Séance de détersion mécanique d'une ulcération trophique de la peau et des tissus mous sur 30 cm2 à 200 cm2, sous anesthésie générale ou locorégionale"
"QZKA004";"Changement d'un générateur souscutané de stimulation neurologique"
"QZLA001";"Pose d'un dispositif d’expansion de la peau ou d'un implant souscutané définitif"
"QZLA002";"Pose de plusieurs dispositifs d’expansion de la peau ou de plusieurs implants souscutanés définitifs"
"QZLA003";"Implantation souscutanée d'un générateur de stimulation neurologique"
"QZLA004";"Pose d'implant pharmacologique souscutané"
"QZLA005";"Implantation d'un stimulateur cardiaque définitif"
"QZMA001";"Réparation par lambeau local ou régional muqueux, cutané ou fasciocutané, à pédicule vasculonerveux non individualisé ou non individualisable, en dehors de l'extrémité céphalique"
"QZMA003";"Réparation par lambeau à distance cutané, fasciocutané ou musculocutané, à pédicule transitoire"
"QZMA004";"Réparation par lambeau local ou régional cutané, fascial, fasciocutané, septocutané, musculaire ou musculocutané, à pédicule vasculaire ou vasculonerveux anatomique"
"QZMA005";"Réparation par lambeau local ou régional cutané, fasciocutané ou ostéocutané, à pédicule vasculaire ou vasculonerveux anatomique, disséqué en ilôt"
"QZMA006";"Modelage secondaire d'un lambeau"
"QZMA007";"Réparation par lambeau local ou régional musculaire ou musculocutané, à pédicule vasculaire ou vasculonerveux anatomique, disséqué en îlot"
"QZMA009";"Réparation par lambeau à distance cutané, fasciocutané, musculaire, musculocutané ou ostéo-musculo-cutané, à pédicule définitif"
"QZMP001";"Couverture du lit de l'ongle par repositionnement de la tablette ou pose de prothèse provisoire. Avec ou sans : suture"
"QZMP002";"Confection d'un conformateur de pressothérapie d'une cicatrice vicieuse et/ou chéloïde"
"QZMP004";"Remplissage secondaire ou reprogrammation d'une pompe souscutanée à infusion continue du système nerveux central"
